"Section Description
RDA common maDMP standard","Common standard fieldname
(click on hyperlinks for descriptions)
(see GC_RDA DMP structure, here)",Added to DSW knowledge model?,, DSW knowledge model UUID,Link / key to DSW knowledge model location,"Logical model tracking
(done, pending, changed)",Logical model changes,Logical model comments,Example,Data type,GC DMP Requirement,"required IF"" dependency",Cardinality RDA,Cardinality change GC,Required by,LAC requirement at time of transfer for archival datasets,"DataCite Record for DMP (Mandatory, Optional, Recommended)",Corresponding DataCite field(s),"DataCite Record for Dataset (M, O, R)",Corresponding DataCite field(s),NSL/NRC requirement,Recommended by,Simple fieldname,Nom de domaine simple,Nom de domaine,"Verification 1
agree/disagree (initials)","Verification 2
agree/disagree (initials)","Verification 3
agree/disagree (initials)",Verification comments 1,Verification comments 2,Verification comments 3
,dmp/dataset/distribution/download_url,TRUE,,f3b7d07c-a0ee-4a04-88a1-929d0b33f1a0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f3b7d07c-a0ee-4a04-88a1-929d0b33f1a0,done,,,http://some.repo.../download/...,uri,optional,,0..1,,,,,,,,,,download_urldistribution_,télécharger_url,pgd/données/distribution/téléchargé_url,KT yes,AR yes,,,,
,dmp/dataset/distribution/format,TRUE,,74d1a004-eb43-427b-8928-9ae9814fcbeb,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=74d1a004-eb43-427b-8928-9ae9814fcbeb,done,,,"csv, excel, json",controlled vocabulary (list - separate formats with commas),required IF,if there is a distribution,0..n,1..n,,"Y (Format, mandatory at item level)",,,O,format,,,distribution_formats,distribution_formats,pgd/données/distribution/format,KT yes,AR yes,,KT: RDA Common Standard suggests IANA media types. Will a particular format type be suggested in the GC?,,
,dmp/dataset/distribution/geodetic_datum,TRUE,,b1a34d2d-5a5c-4d45-b28f-cb96be80cb8a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b1a34d2d-5a5c-4d45-b28f-cb96be80cb8a,done,dct:spatial to dct:Location,move to dataset level,NAD27 (older North American),controlled vocabulary,required IF,if data_class = geospatial,NA,1,,,,,,,,,distribution_geodetic_datum,distribution_référence_géodésique,,KT yes,,,,,
,dmp/dataset/distribution/indian_band_number,TRUE,,aa94582d-80a9-429d-a55d-e923ae483b49,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=aa94582d-80a9-429d-a55d-e923ae483b49,done,,move to dataset level,638 Ka:'yu:'k't'h'/Che:k:tles7et'h' First Nations,controlled vocabulary,required IF,if the dataset is related to a band,NA,0..1,,,,,,,,,distribution_indian_band_number,distribution_bande_indienne_numéro,,,,,,,
,dmp/dataset/distribution/indigenous_data,TRUE,,c7e8bb9e-289b-4740-9066-6bcb252b3816,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c7e8bb9e-289b-4740-9066-6bcb252b3816,redundant,dct:type,,yes,controlled vocabulary,required,,NA,1,Tri-Agency,,,,,,,,distribution_indigenous_data,distribution_données_autochtones,pgd/données/distribution/données_autochtones,KT yes,,,,,
,dmp/dataset/distribution/indigenous_data_identification_method,TRUE,,afdda461-a928-429b-b779-5991836e629b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=afdda461-a928-429b-b779-5991836e629b,done,dcso:indigenousDataIndentificationMethod,"in dataset, link to metadata?",self-identification,controlled vocabulary,required IF,if indigenous_considerations exist,,,,,,,,,,,,,,,,,,,
,dmp/dataset/distribution/language,TRUE,,89e2f452-a9d7-4f0e-a4b1-dd766bba9ac9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=89e2f452-a9d7-4f0e-a4b1-dd766bba9ac9,done,Link to dcsx:Language class,move to dataset level,zxx,controlled vocabulary,required IF,if there is a distribution,NA,0..n,,Y (Language),,,see above,language,,,distribution_language,distribution_langue,,KT yes,,,,,
,dmp/dataset/distribution/language_multiple,TRUE,,789237b1-5552-448c-a916-ddb7927acadd,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=789237b1-5552-448c-a916-ddb7927acadd,redundant,,redundant; already in datset,"eng, fra",string (free-form text),required IF,if language=mul,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,distribution_language_multiple,distribution_langue_multiple,,,,,,,
,dmp/dataset/distribution/language_no_linguistic_content,TRUE,,e1339d59-c4c2-4ebd-85de-04a0265a80d7,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e1339d59-c4c2-4ebd-85de-04a0265a80d7,redundant,,redundant; already in datset,bird calls,string (free-form text),required IF,if language=zxx,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,distribution_language_no_linguistic_content,distribution_langue_aucun_contenu_linguistique,,,,,,,
,dmp/dataset/distribution/language_uncoded,TRUE,,89e2f452-a9d7-4f0e-a4b1-dd766bba9ac9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=89e2f452-a9d7-4f0e-a4b1-dd766bba9ac9,redundant,,redundant; already in datset,,controlled vocabulary,optional,,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,distribution_language_uncoded,distribution_langue_non_codée,,,,,,,
,dmp/dataset/distribution/language_undetermined,TRUE,,178278af-1e86-4e2c-b275-4ed72145b9e6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=178278af-1e86-4e2c-b275-4ed72145b9e6,redundant,,redundant; already in datset,,string (free-form text),optional,,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,distribution_language_undetermined,distribution_langue)_non_déterminée,,,,,,,
,dmp/dataset/distribution/linked_data_star_rating,TRUE,,1b3c12af-5b2c-4704-801c-e83d2493c71c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1b3c12af-5b2c-4704-801c-e83d2493c71c,done,,move to dataset level,5 stars,controlled vocabulary,required IF,if there is a distribution,NA,1,,,,,,,,,distribution_linked_data_star_rating,distribution_données_liées_cote_étoiles,pgd/données/distribution/données_liées_cote_étoiles,KT yes,AR yes,,,,
,dmp/dataset/distribution/physical_data_asset/,TRUE,,f052007b-5779-43f0-b6fb-0e20daa89261,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f052007b-5779-43f0-b6fb-0e20daa89261,done,,Covered by dcso:Distribution link to MediaType,,,,,,0..n,,,,,,,,,,,,,,,,,
,dmp/dataset/distribution/physical_data_asset/building_city,TRUE,,9d7f27a2-05d4-418e-b6b0-9359a9191227,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9d7f27a2-05d4-418e-b6b0-9359a9191227,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,physical_data_asset_building_city,actif_données physiques_imeuble_ville,,,,,,,
,dmp/dataset/distribution/physical_data_asset/building_name,TRUE,,588aee9b-14bd-4443-b81b-cf8f8c002be6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=588aee9b-14bd-4443-b81b-cf8f8c002be6,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,physical_data_asset_building_name,actif_données physiques_imeuble_nom,,,,,,,
,dmp/dataset/distribution/physical_data_asset/building_room_number,TRUE,,10c2d274-8b23-471c-9ae7-f122a4b80f2c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=10c2d274-8b23-471c-9ae7-f122a4b80f2c,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,physical_data_asset_building_room_number,actif_données physiques_imeuble_salle_numéro,,,,,,,
,dmp/dataset/distribution/physical_data_asset/computer_name_full,TRUE,,35798b2b-a122-42db-8763-1458fcb0f157,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=35798b2b-a122-42db-8763-1458fcb0f157,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,physical_data_asset_computer_name_full,actif_données physiques_ordinateur_nom_complet,,,,,,,
,dmp/dataset/distribution/physical_data_asset/description,TRUE,,77b465aa-8184-433a-9b89-a979cd5faddf,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=77b465aa-8184-433a-9b89-a979cd5faddf,done,,,,string (free-form text),required IF,if there is a physical data asset,NA,0..1,,,,,,,,LAC,physical_data_asset_description,actif_données physiques_description,,,,,,,
,dmp/dataset/distribution/physical_data_asset/type,TRUE,,a07defd0-5002-4725-a453-35e8f9c0adbc,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a07defd0-5002-4725-a453-35e8f9c0adbc,done,,,clay tablet,controlled vocabulary,required IF,if there is a physical data asset,NA,0..1,,,,,,,,LAC,physical_data_asset_type,actif_données physiques,,,,,,,
,dmp/dataset/distribution/quality_control_level,TRUE,,12345645-35a4-43a4-bbc9-0eddc02fd500,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=12345645-35a4-43a4-bbc9-0eddc02fd500,?,,move to dataset level,level 2,controlled vocabulary,required IF,if there is a distribution,NA,1,,,,,,,,NARSTO,distribution_quality_control_level,distribution_niveau_contrôle_qualité,pgd/données/distribution/niveau_contrôle_qualité,KT yes,AR yes,,,,
,dmp/dataset/distribution/shared_drive_address,TRUE,,55c80c3a-310a-4aa8-9b6e-4b100fabe2c5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=55c80c3a-310a-4aa8-9b6e-4b100fabe2c5,done,,dcat:accessURL in Distribution,,string (free-form text),optional,,NA,0..1,,,,,,,,,physical_data_asset_shared_drive_address,actif_données physiques_lecteur_partagé_adresse,,,,,,,
,dmp/dataset/distribution/status,TRUE,,376cbb58-c02c-42eb-9ece-e5331d7368b7,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=376cbb58-c02c-42eb-9ece-e5331d7368b7,done,,,not started,controlled vocabulary,optional,,NA,0..1,,,,,,,,,distribution_status,distribution_statut,,,,,,,
,dmp/dataset/distribution/status_description,TRUE,,bcc78e33-ee46-42df-b97b-46ed6bc91dd3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=bcc78e33-ee46-42df-b97b-46ed6bc91dd3,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,distribution_status_description,distribution_statut_description,,,,,,,
,dmp/dataset/distribution/title,TRUE,,35de3d59-463b-4c10-81b8-5897bc0869f2,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=35de3d59-463b-4c10-81b8-5897bc0869f2,done,,,Full resolution images,string (free-form text),required IF,if there is a distribution,1,,,Y (Title at aggregation or item level),,,see above,title,,,distribution_title,distribution_titre,pgd/données/distribution/titre,KT yes,AR yes,,,,
"10. HOST
Provides information on the system where data are stored. It can be used to provide details on a repository where data are deposited, e.g. a Core Trust Seal certified repository located in Europe that uses DOIs. It can also provide details on systems where data are stored and processed during research, e.g. a high performance computer that uses fast storage with two daily backups.",dmp/dataset/distribution/host/,TRUE,,fac6cc05-88f5-4688-80c7-60d5907dcd20,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=fac6cc05-88f5-4688-80c7-60d5907dcd20,done,,,,nested data structure,optional,,0..1,,,,,,,,,,,,pgd/données/distribution/hôte,KT yes,AR yes,,"KT: added cardinality, changed requirement to optional (to match RDA Common Standard), added data type",ok (CCA),
,dmp/dataset/distribution/host/availability,TRUE,,a2ab91a4-25e0-445f-a884-69a0b509c716,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a2ab91a4-25e0-445f-a884-69a0b509c716,done,,,"99,5",string (free-form text),optional,,0..1,,,,,,,,,,host_availability,hôte_disponibilité,pgd/données/distribution/hôte/disponibilité,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/backup_frequency,TRUE,,9e420be7-0884-4298-919a-670a9d4756b2,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9e420be7-0884-4298-919a-670a9d4756b2,done,,,weekly,string (free-form text),optional,,0..1,,,,,,,,,,host_backup_frequency,hôte_sauvegarde_fréquence,pgd/données/distribution/hôte/sauvegarde_fréquence,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/backup_type,TRUE,,2852ded8-664e-4e76-ba67-80a84cbf5b15,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2852ded8-664e-4e76-ba67-80a84cbf5b15,done,,,,string (free-form text),optional,,0..1,,,,,,,,,,host_backup_type,hôte_sauvegarde_type,pgd/données/distribution/hôte/sauvegarde_type,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/certified_with,TRUE,,019ccf72-462b-4ac6-8b47-a3d07b2f68aa,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=019ccf72-462b-4ac6-8b47-a3d07b2f68aa,done,,,coretrustseal,controlled vocabulary,optional,,0..1,,,,,,,,,,host_certified_with,hôte_certifié_par,pgd/données/distribution/hôte/certifié_par,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/description,TRUE,,8d9c5141-43f5-4a44-983a-a24676217aa0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8d9c5141-43f5-4a44-983a-a24676217aa0,done,,,Repository hosted by...,string (free-form text),optional,,0..1,,,,,,,,,,host_description,hôte_description,pgd/données/distribution/hôte/description,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/geo_location,TRUE,,494b0f7a-0ae1-4885-b546-b2db5d9ef0a6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=494b0f7a-0ae1-4885-b546-b2db5d9ef0a6,done,,,CA,controlled vocabulary,optional,,0..1,,,,,,,,,,host_geo_location,hôte_géo_location,pgd/données/distribution/hôte/géo_location,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/pid_system,TRUE,,a6dc7815-bf0b-4482-bb95-e1c8fe765b14,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a6dc7815-bf0b-4482-bb95-e1c8fe765b14,done,,,arxiv,controlled vocabulary (list - separate multiple items with commas),optional,,0..n,,,,,,,,,,host_pid_system,hôte_pid_système,pgd/données/distribution/hôte/pid_système,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/storage_type,TRUE,,ec1ab8ee-835c-489b-9c75-1f243ef6e0f3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ec1ab8ee-835c-489b-9c75-1f243ef6e0f3,done,,what controlled vocab?,blob,controlled vocabulary,optional,,0..1,,,,,,,,,,host_storage_type,hôte_entreposage_type,pgd/données/distribution/hôte/entreposage_type,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/support_checksum,TRUE,,2d673a03-dc90-4171-82f9-acf47a3e80c0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2d673a03-dc90-4171-82f9-acf47a3e80c0,done,,,yes,controlled vocabulary,required IF,if transferred to LAC,NA,1,,,,,,,,LAC,host_support_checksum,support_ somme_de_contrôle,pgd/données/distribution/hôte/support_ somme_de_contrôle,KT yes,,,,,
,dmp/dataset/distribution/host/support_versioning,TRUE,,2c622c70-197a-4181-b316-8f99b089f684,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=2c622c70-197a-4181-b316-8f99b089f684,done,,,no,controlled vocabulary,optional,,0..1,,,,,,,,,,host_support_versioning,hôte_gestion_des_versions,pgd/données/distribution/hôte/gestion_des_versions,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/title,TRUE,,d162bd5e-c909-4617-ad93-9bdf316ac06f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=d162bd5e-c909-4617-ad93-9bdf316ac06f,done,,,Super Repository,string (free-form text),required IF,if there is a distribution,1,,,,,,,,,,host_title,hôte_titre,pgd/données/distribution/hôte/titre,KT yes,AR yes,,,,
,dmp/dataset/distribution/host/url,TRUE,,76a28ab6-959a-4bdb-a87f-0fa40a334f16,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=76a28ab6-959a-4bdb-a87f-0fa40a334f16,done,,TODO: check how to verify URLs,https://zenodo.org,uri,required IF,if there is a distribution,1,,,,,,,,,,host_url,hôte_url,pgd/données/distribution/hôte/url,KT yes,AR yes,,,,
11. DISPOSITION AND RETENTION,dmp/dataset/disposition_planning/,TRUE,,,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=,,,,,,required,,,,TBS Policy on Service and Digital 4.3.2.2,,,,,,,LAC,,,,,,,,,
,dmp/dataset/disposition_planning/archival_value,TRUE,,0c3b79c9-c9f8-48aa-b8cf-3cb32bfd886b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0c3b79c9-c9f8-48aa-b8cf-3cb32bfd886b,,,,yes part,controlled vocabulary,required,,NA,1,LAC Operational standard for the use of disposition authorizations,Y,,,,,,LAC,dataset_disposition_planning_archival_value,données_disposition_planification_valeur archivistique,,KT yes,,,,,
,dmp/dataset/disposition_planning/archival_value_description,TRUE,,7ae2807f-52a8-496a-adce-87451b78e9e5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=7ae2807f-52a8-496a-adce-87451b78e9e5,,,,,string (free-form text),optional,,NA,0..1,,,,,,,,LAC,dataset_disposition_planning_archival_value_description,données_disposition_planification_valeur archivistique_description,,KT yes,,,,,
,dmp/dataset/disposition_planning/legal_issues,TRUE,,a2afd60f-7b91-4062-b43c-e58dcc09091b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a2afd60f-7b91-4062-b43c-e58dcc09091b,,,,yes,controlled vocabulary,required,,NA,1,"Electronic records as documentary evidence, UNDRIP, TBS Policy on Service and Digital 4.3.2.1","Y, if still applies (Rights Management Information)",,,,,,LAC,dataset_disposition_planning_legal_issues,données_disposition_planification_problèmes_juridiques,,KT yes,,,,,
,dmp/dataset/disposition_planning/legal_issues_description,TRUE,,e8c435fe-097c-4db4-91d6-65032294403f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e8c435fe-097c-4db4-91d6-65032294403f,,,,,string (free-form text),optional,,NA,0..1,"Electronic records as documentary evidence, UNDRIP, TBS Policy on Service and Digital 4.3.2.1","Y, if still applies (Rights Management Information)",,,,,,LAC,dataset_disposition_planning_legal_issues_description,données_disposition_planification_problèmes_juridiques_description,,KT yes,,,,,
,dmp/dataset/disposition_planning/remaining_distributions,TRUE,,a44c2874-9b1e-4014-97bb-f1187d1931a6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a44c2874-9b1e-4014-97bb-f1187d1931a6,,,TODO: check what this is,,string (free-form text),optional,,NA,0..1,TBS Policy on Service and Digital 4.3.2.2,,,,,,,LAC,dataset_disposition_planning_remaining_distributions,données_disposition_planification_données_restantes,,,,,,,
,dmp/dataset/disposition_planning/required_destruction,TRUE,,42e3bd01-84c9-45a5-9c3f-c170aebbbdde,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=42e3bd01-84c9-45a5-9c3f-c170aebbbdde,,,,yes part,controlled vocabulary,required,,NA,1,"TBS Policy on Service and Digital 4.3.2.2; specific requirement may vary (ethics, condition of collection, agreement)",,,,,,,LAC,dataset_disposition_planning_required_destruction,données_disposition_planification_destruction_requise,,KT yes,,,,,
,dmp/dataset/disposition_planning/required_destruction_description,TRUE,,8fe8b458-0932-4b9b-8182-8f7d6ed075d5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8fe8b458-0932-4b9b-8182-8f7d6ed075d5,,,,"Ethics Review Board clearance requires destruction of all identifying datasets at project close, estimated to occur 203-01-01.",string (free-form text),optional,,NA,0..1,,,,,,,,LAC,dataset_disposition_planning_required_destruction_description,données_disposition_planification_destruction_requise_description,,,,,,,
,dmp/dataset/disposition_planning/required_perpetual_use,TRUE,,7838421e-b997-4a06-a598-5ce8129f0973,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=7838421e-b997-4a06-a598-5ce8129f0973,,,,yes part,controlled vocabulary,required,,NA,1,"May vary: scientific integrity policies (scientific integrity, credibility of GC science etc.); UN Joinet-Orentlicher Principles (preservation of information documenting human rights abuses) ; treaties or agreements.",,,,,,,"LAC, on basis of ongoing scientific accountability requirements identified by SBDAs in WG, also UN Joinet-Orentlicher Principles.",dataset_disposition_planning_required_perpetual_use,données_disposition_planification_usage_perpétuel,,KT yes,,,,,
,dmp/dataset/disposition_planning/required_perpetual_use_description,TRUE,,b3355c24-4493-49f3-b5f4-d4372f3d95f9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b3355c24-4493-49f3-b5f4-d4372f3d95f9,,,,,string (free-form text),optional,,NA,0..1,,,,,,,,LAC,dataset_disposition_planning_required_perpetual_use_description,données_disposition_planification_usage_perpétuel_description,,,,,,,
,dmp/dataset/disposition_planning/retention_review_trigger,TRUE,,3c9153c1-2922-48fc-a7ee-a614cc4ed267,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3c9153c1-2922-48fc-a7ee-a614cc4ed267,,,,unknown (based on Electronic records as documentary evidence s. 6.4.5.),controlled vocabulary,required,,NA,1,"TBS Policy on Service and Digital (s. 4.3.2.3, 4.3.2.4); Electronic records as documentary evidence (s. 6.4.5); LAC Operational standard for the use of disposition authorizations (in the case of datasets with archival value)",,,,,,,LAC,dataset_disposition_planning_retention_review_trigger,données_disposition_planification_révision_déclencheur,,,,,,,
,dmp/dataset/disposition_planning/retention_review_trigger_date,TRUE,,f13bb0cf-1cf3-4435-bec4-48abed4c180b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f13bb0cf-1cf3-4435-bec4-48abed4c180b,,,,,Date. ISO 8601 datetime compliant string,optional,,NA,0..1,,,,,,,,LAC,dataset_disposition_planning_retention_review_trigger_date,données_disposition_planification_révision_déclencheur_date,,KT yes,,,,,
,dmp/dataset/disposition_planning/retention_review_trigger_description,TRUE,,6309339c-9538-4bfb-bb5f-f3fceea7f04f,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=6309339c-9538-4bfb-bb5f-f3fceea7f04f,,,TODO: check what this is,,string (free-form text),optional,,NA,0..1,,,,,,,,LAC,dataset_disposition_planning_retention_review_trigger_description,données_disposition_planification_révision_déclencheur_description,,KT yes,,,,,
,dmp/dataset/distribution/disposition_action_completed/,TRUE,,3cab2087-3120-4606-babf-ce25ea580754,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3cab2087-3120-4606-babf-ce25ea580754,,,,,,required IF,,,,Electronic records as documentary evidence (s. 6.4.6.2),,,,,,,"LAC, on basis of requirements for documented disposition identified by SBDAs on WG",,,,KT yes,,,,,
,dmp/dataset/distribution/disposition_action_completed/authorization_number,TRUE,,0860db4f-2342-49a9-8020-696cbb4c88ed,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0860db4f-2342-49a9-8020-696cbb4c88ed,,,,,string (free-form text),required IF,if there has been a disposition action,NA,1,LAC Act,,,,,,,LAC,distribution_disposition_action_completed_authorization_number,distribution_disposition_action_terminée_,,KT yes,,,,,
,dmp/dataset/distribution/disposition_action_completed/date,TRUE,,4405f0d1-593a-464a-b139-3a077badfb78,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=4405f0d1-593a-464a-b139-3a077badfb78,,,,,Date. ISO 8601 datetime compliant string,required IF,if there has been a disposition action,NA,1,,,,,,,,LAC,distribution_disposition_action_completed_date,distribution_disposition_action_terminée_date,,KT yes,,,,,
,dmp/dataset/distribution/disposition_action_completed/description,TRUE,,cc2cbd36-897a-4029-8934-2f272a9915d6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cc2cbd36-897a-4029-8934-2f272a9915d6,,,,Transfer to LAC 2030-01-01 as part of accession no. 2030-zzzzz-yyyy.,string (free-form text),optional,,NA,0..1,,,,,,,,LAC,distribution_disposition_action_completed_description,distributions_disposition_action_terminée_description,,KT yes,,,,,
,dmp/dataset/distribution/disposition_action_completed/type,TRUE,,de6ede65-73cf-4653-8086-aba2b830ef98,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=de6ede65-73cf-4653-8086-aba2b830ef98,,,,transferred to national archives,controlled vocabulary,required IF,if there has been a disposition action,NA,1,,,,,,,,LAC,distribution_disposition_action_completed_type,distribution_disposition_action_terminée_type,,KT yes,,,,,
,dmp/dataset/distribution/disposition_planning/,TRUE,,cf3da609-ed45-4a3e-90f4-8c54850c95d1,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cf3da609-ed45-4a3e-90f4-8c54850c95d1,,,,,,required IF,,,,TBS Policy on Service and Digital (s. 4.3.2.2),,,,,,,LAC,,,,,,,,,
,dmp/dataset/distribution/disposition_planning/archival_value,TRUE,,a3be0fec-015b-4d80-ab43-af2c54662c6b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a3be0fec-015b-4d80-ab43-af2c54662c6b,,,,yes,controlled vocabulary,required,,NA,1,LAC Operational standard for the use of disposition authorizations,Y,,,,,,LAC,distribution_disposition_planning_archival_value,distribution_disposition_planification_valeur archivistique,,KT yes,,,,,
,dmp/dataset/distribution/disposition_planning/legal_issues,TRUE,,5d87938d-ed9b-4929-bc6a-955526ef01d0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=5d87938d-ed9b-4929-bc6a-955526ef01d0,,,,yes,controlled vocabulary,required,,NA,1,,"Y, if still applies (Rights Management Information)",,,,,,LAC,distribution_disposition_planning_legal_issues,distribution_planification_problèmes_juridiques,,KT yes,,,,,
